City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,rikitea,PF,77.79,light rain,-23.1203,-134.9692,People ThankYou
4,avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
5,hithadhoo,MV,80.62,overcast clouds,-0.6,73.0833,Scoop Guest House
11,cockburn town,TC,78.98,clear sky,21.4612,-71.1419,Osprey Beach Hotel
13,yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
19,enugu,NG,75.06,clear sky,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
20,iracoubo,GF,76.44,overcast clouds,5.4802,-53.2011,Le G卯te dIracoubo
23,carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
27,touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
28,batemans bay,AU,81.19,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
30,puerto ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,los negros,BO,89.73,broken clouds,-17.7333,-63.4333,
34,arraial do cabo,BR,76.46,light rain,-22.9661,-42.0278,Pousada Porto Praia
38,atuona,PF,78.08,few clouds,-9.8,-139.0333,Villa Enata
39,kapaa,US,80.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
41,kiunga,PG,80.13,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
50,hilo,US,81.1,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,caravelas,BR,77.88,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
55,souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
61,butaritari,KI,82.38,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
63,geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
71,kribi,CM,79.99,broken clouds,2.95,9.9167,La Grace H么tel
92,boa vista,BR,85.98,light rain,2.8197,-60.6733,Aipana Plaza Hotel
101,mogadishu,SO,77.83,broken clouds,2.0371,45.3438,Hotel Juba
102,samarai,PG,81.93,overcast clouds,-10.6167,150.6667,Nuli Sapi
104,kavaratti,IN,79.48,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
113,alugan,PH,78.98,broken clouds,12.2188,125.4808,JM Lodge
115,san francisco menendez,SV,76.39,few clouds,13.8431,-90.0158,La casa de las Rivera
122,marovoay,MG,77.14,overcast clouds,-16.1,46.6333,H么tel les Oliviers Marovoay
127,byron bay,AU,80.71,overcast clouds,-28.65,153.6167,Backpackers Inn
128,oum hadjer,TD,76.24,scattered clouds,13.2954,19.6966,
134,manokwari,ID,81.95,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
138,inirida,CO,79.81,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
141,faanui,PF,82.06,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
146,berbera,SO,77.59,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
149,batie,BF,76.1,broken clouds,9.8833,-2.9167,Auberge SONDAR AFACI
150,aquiraz,BR,82.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
159,road town,VG,77.09,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
161,lujan,AR,77.68,clear sky,-34.5703,-59.105,Hotel Biarritz
164,kaeo,NZ,76.32,clear sky,-35.1,173.7833,Bushido Lodge
166,kavieng,PG,83.26,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
168,puerto narino,CO,78.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
173,pandan,PH,78.33,overcast clouds,14.0453,124.1694,Bonifacio Lodge
175,matata,NZ,75.52,scattered clouds,-37.8833,176.75,Matata B&B
176,tsabong,BW,79.54,broken clouds,-26.0217,22.401,Springbok Motel
181,wamba,NG,75.74,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
185,sola,VU,82.04,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
193,benjamin aceval,PY,86.59,scattered clouds,-24.9667,-57.5667,Escuela Agr铆cola y Hotel Cerrito
205,alofi,NU,80.49,heavy intensity drizzle,-19.0595,-169.9187,Taloa Heights
206,riberalta,BO,77.2,broken clouds,-10.9833,-66.1,Hotel Colonial
214,mayor pablo lagerenza,PY,80.64,scattered clouds,-19.9309,-60.7718,
218,waingapu,ID,78.66,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
230,gorontalo,ID,79.57,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
236,sibolga,ID,76.19,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
237,sao jose da coroa grande,BR,79.39,few clouds,-8.8978,-35.1478,Cr么a Mares Hotel
240,tagusao,PH,78.33,scattered clouds,9.1924,117.8141,Toledo
243,meulaboh,ID,75.72,overcast clouds,4.1363,96.1285,Kost Pria
253,binabalian,PH,77.68,broken clouds,16.4202,119.9279,Sundowners Vacation Villas
255,lambarene,GA,75.33,broken clouds,-0.7001,10.2406,Le Refuge
256,georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
258,bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
259,cabo san lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
261,vila velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
268,mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
270,harlingen,US,82.58,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
276,comodoro rivadavia,AR,80.46,clear sky,-45.8667,-67.5,Austral Hotel
288,savannah bight,HN,80.65,clear sky,16.45,-85.85,Villa on Dunbar Rock
301,grand gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
302,port blair,IN,78.15,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
304,santa rosa,PH,78.85,scattered clouds,14.3122,121.1114,Erlyns Sta Rosa City Home
306,tambacounda,SN,75.25,clear sky,13.7539,-13.7586,
308,tarauaca,BR,78.98,scattered clouds,-8.1614,-70.7656,Flat Temporada
323,poum,NC,81.99,overcast clouds,-20.2333,164.0167,G卯te kajeon
330,tual,ID,83.53,broken clouds,-5.6667,132.75,Grand Vilia Hotel
331,lorengau,PG,83.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
341,padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
344,bubaque,GW,79.65,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
347,lagos,NG,77.58,clear sky,6.5833,3.75,
351,majene,ID,78.33,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
356,nhulunbuy,AU,84.81,clear sky,-12.2333,136.7667,East Arnhem Real Estate
359,alice springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
360,banjar,ID,82.26,broken clouds,-8.19,114.9675,The Hamsa Resort
361,champerico,GT,88.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
368,bambous virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
371,anito,PH,77.85,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
373,amlame,TG,75.87,clear sky,7.4667,0.9,Centre dAcceuil AMITIE AIFFRES-AMLAME
378,lucea,JM,80.46,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
379,arawa,PG,82.35,moderate rain,-6.2132,155.5367,Coastline Guest House
380,lubao,PH,75.15,broken clouds,14.9167,120.55,Hacienda Gracia
384,tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
385,san andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
388,koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
390,isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
396,kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
398,bengkulu,ID,75.9,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
399,itaqui,BR,78.12,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
400,cap malheureux,MU,75.69,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
401,bambanglipuro,ID,80.29,broken clouds,-7.95,110.2833,Puri Brata
403,tiarei,PF,86.02,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
405,sinnamary,GF,76.5,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
407,bonthe,SL,79.75,clear sky,7.5264,-12.505,Bonthe Holiday Village
408,nisia floresta,BR,82.78,few clouds,-6.0911,-35.2086,Rancho Crepusculo
409,port moresby,PG,83.62,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
411,manggar,ID,78.6,overcast clouds,-2.8833,108.2667,Guest Hotel
415,ladario,BR,77.43,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
421,san luis,AR,78.98,few clouds,-33.295,-66.3356,Huarpes Hotel
423,acarau,BR,79.68,few clouds,-2.8856,-40.12,castelo pizzaria
430,santa fe,AR,84.0,light rain,-31.6333,-60.7,Conquistador Hotel
432,ugoofaaru,MV,80.82,overcast clouds,5.6667,73.0,Ungoofaaru Inn
434,itarema,BR,79.61,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
435,ippy,CF,76.23,broken clouds,6.2679,21.2247,
443,kismayo,SO,78.51,scattered clouds,-0.3582,42.5454,Agan-Hotel
446,luganville,VU,84.6,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
448,noumea,NC,79.0,overcast clouds,-22.2763,166.4572,H么tel Le Lagon
457,maningrida,AU,83.59,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
461,labuhan,ID,79.09,overcast clouds,-6.8844,112.2051,DoubleFAG
462,vanimo,PG,79.56,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
467,eyl,SO,77.45,overcast clouds,7.9803,49.8164,Amiin Hotel
470,progreso,MX,75.87,clear sky,21.2833,-89.6667,Playa Linda Hotel
472,afogados da ingazeira,BR,77.9,overcast clouds,-7.7508,-37.6392,Hotel Brotas
474,anloga,GH,82.62,clear sky,5.7947,0.8973,Pin Drop Hotel
477,ponnani,IN,76.32,broken clouds,10.767,75.9252,Rouba Residency
480,navolato,MX,80.64,clear sky,24.7672,-107.6944,Cofrad铆a de San pedro Navolato sinaloa
481,hambantota,LK,76.1,overcast clouds,6.1241,81.1185,Bungalow 63
483,porto velho,BR,82.45,few clouds,-8.7619,-63.9039,Hotel Central
484,vao,NC,77.85,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
491,san patricio,US,77.41,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
493,hervey bay,AU,81.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
494,pringsewu,ID,75.51,overcast clouds,-5.3582,104.9744,Urban Style by Front One
495,ballina,AU,80.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
496,viedma,AR,84.79,clear sky,-40.8135,-62.9967,Hotel Cristal
499,kandrian,PG,75.88,moderate rain,-6.2167,149.55,Kandrian Station
502,mahibadhoo,MV,81.36,broken clouds,3.7833,72.9667,Omadhoo Inn
507,tayu,ID,78.8,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
510,port hedland,AU,87.85,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
511,gamba,GA,76.5,broken clouds,-2.65,10.0,
516,manaure,CO,79.11,scattered clouds,11.7751,-72.4445,Hotel Palaaima
520,bodden town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
523,madang,PG,75.76,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
527,makakilo city,US,78.69,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
528,galle,LK,75.38,broken clouds,6.0367,80.217,Amangalla
531,puro,PH,77.86,scattered clouds,12.4841,123.3827,
532,vallenar,CL,75.07,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
534,lazaro cardenas,MX,78.12,overcast clouds,17.9583,-102.2,quinta antigua
535,bairiki,KI,87.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
536,barabai,ID,75.6,moderate rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
542,mitu,CO,78.93,overcast clouds,1.1983,-70.1733,
545,kendari,ID,76.78,light rain,-3.945,122.4989,Hotel Wixel
546,manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
552,conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
554,miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
558,luwuk,ID,81.16,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
560,tamandare,BR,79.03,few clouds,-8.7597,-35.1047,Pousada 100 Passos
561,caucaia,BR,81.07,scattered clouds,-3.7361,-38.6531,M.O.S. Log铆stica - Filial Fortaleza
570,olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
571,caxito,AO,75.96,overcast clouds,-8.5785,13.6643,
582,nelson bay,AU,80.96,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
583,banda aceh,ID,77.67,overcast clouds,5.5577,95.3222,Sulthan Hotel International
586,belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O P茫o
592,arboletes,CO,82.38,scattered clouds,8.8505,-76.4269,Hotel Playa Star
596,thinadhoo,MV,81.09,overcast clouds,0.5333,72.9333,
599,port macquarie,AU,77.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
608,maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Poutur Pousada
609,savelugu,GH,79.61,few clouds,9.6244,-0.8253,Yoo Naa's Palace
620,jacqueville,CI,82.31,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
624,kieta,PG,81.48,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
628,alyangula,AU,87.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
631,martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
639,gualeguaychu,AR,77.86,clear sky,-33.0094,-58.5172,Hotel Los Angeles
643,saquarema,BR,77.02,light rain,-22.92,-42.5103,Hotel Fazenda Sol e Lua
644,sokoni,TZ,82.0,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
646,gurun,MY,78.73,scattered clouds,5.8172,100.4738,The Jerai Hill Resort
650,swan hill,AU,79.45,scattered clouds,-35.3378,143.5544,Lazy River Motor Inn
653,blora,ID,77.0,broken clouds,-6.9698,111.4186,Hotel Adhi Jaya
654,jacareacanga,BR,75.2,overcast clouds,-6.2222,-57.7528,Casa do Ian
663,kanniyakumari,IN,77.22,scattered clouds,8.0833,77.5667,Sparsa
670,bandarbeyla,SO,76.75,light rain,9.4942,50.8122,JABIR HOTEL
674,kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
681,cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
687,boyolangu,ID,78.48,broken clouds,-8.1181,111.8935,Yos ega cv
689,dingle,PH,75.07,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
692,wawa,NG,79.9,clear sky,9.9022,4.4192,
